respondent_id,age_band,children_u16,work_hours_band,wt_final,att_plan_ahead_5,att_spontaneous_5,att_budget_worry_5,att_price_tradeoffs_5,att_time_short_5,att_decision_fatigue_5,att_waste_concern_5,att_waste_difficult_5,att_digital_help_5,need_budget,need_effort,need_waste,meal_plan_days_7d,unplanned_topups_7d,waste_days_7d,over_budget_4w,planning_tool_28d,tool_satisfaction_5,shared_list_use_28d,support_budget,support_quick_meals,support_use_up,support_shared_plan,barrier_setup_time,barrier_rigid,barrier_cost,barrier_privacy,needs_block_status,barriers_block_status
SBT004_000036,3,1,2,0.666666666666667,4,3,1,2,4,4,3,4,5,0,1,0,5,1,1,0,3,5.0,1.0,0,1,1,1,0,0,1,0,1,1
SBT004_000037,3,0,2,2.0,2,4,2,3,4,4,4,5,2,0,1,1,3,98,0,97,0,,,1,1,1,1,1,0,0,1,1,1
SBT004_000038,4,0,1,1.04545454545455,4,2,3,3,98,1,3,4,2,0,99,0,7,1,0,0,0,,,1,0,0,0,0,1,1,0,1,1
SBT004_000039,2,0,2,1.5,4,3,5,4,5,5,4,4,5,1,1,1,5,1,1,1,2,5.0,0.0,1,1,1,0,1,0,1,0,1,1
SBT004_000040,2,1,2,0.6,4,3,2,1,4,5,3,5,1,0,1,0,5,0,0,97,0,,,1,1,1,1,1,0,0,0,1,1
SBT004_000041,2,1,0,0.6,5,1,2,2,3,5,4,4,5,0,0,1,7,1,0,1,0,,,0,1,1,1,1,1,0,1,1,1
SBT004_000042,2,1,0,0.6,3,3,3,3,5,4,3,4,2,0,1,0,6,2,1,0,0,,,0,0,1,0,1,0,1,0,1,1
SBT004_000043,3,0,0,2.0,2,4,1,4,3,3,4,2,1,0,0,0,4,1,0,1,2,5.0,1.0,0,1,1,0,0,0,0,1,1,1
SBT004_000044,2,1,1,0.6,1,4,2,4,5,4,4,5,4,0,1,1,1,4,4,0,1,4.0,1.0,0,1,1,0,1,0,0,1,1,1
SBT004_000045,4,0,0,1.04545454545455,4,3,4,3,5,3,4,1,1,0,0,0,6,1,97,1,0,,,0,0,1,1,0,0,1,1,1,1
SBT004_000046,2,1,1,0.6,3,3,3,2,3,4,4,4,1,0,0,1,3,97,0,1,1,5.0,0.0,0,1,1,1,1,1,1,0,1,1
SBT004_000047,4,0,0,1.04545454545455,4,1,5,5,4,3,3,5,3,1,0,0,4,1,2,0,2,5.0,1.0,0,1,1,0,0,0,0,0,1,1
SBT004_000048,4,0,0,1.04545454545455,5,2,3,3,1,1,5,3,1,0,0,0,7,0,0,0,97,,,0,0,0,1,0,0,1,0,1,1
SBT004_000049,4,0,2,1.04545454545455,5,2,4,2,5,3,3,3,3,0,0,0,5,0,0,97,2,4.0,1.0,0,0,0,1,0,0,0,0,1,1
SBT004_000050,1,1,0,0.4,4,1,4,5,4,5,5,3,3,1,1,0,6,2,0,1,1,5.0,0.0,0,0,0,1,0,0,0,1,1,1
SBT004_000051,1,0,0,1.6,3,2,3,2,1,1,2,3,3,0,0,0,6,1,0,98,3,5.0,0.0,98,98,98,98,0,0,0,0,98,1
SBT004_000052,1,1,0,0.4,3,4,5,5,1,4,5,5,2,1,0,1,4,0,3,1,0,,,1,1,0,1,0,0,1,0,1,1
SBT004_000053,2,1,2,0.6,3,2,5,5,97,4,5,4,4,1,99,1,5,2,4,1,0,,,0,1,1,1,1,1,1,0,1,1
SBT004_000054,2,1,2,0.6,3,4,4,4,4,2,2,97,1,1,0,99,5,97,3,0,0,,,0,1,0,1,1,1,1,1,1,1
SBT004_000055,2,1,0,0.6,3,4,5,4,1,1,5,1,1,1,0,0,7,1,0,0,0,,,0,1,1,0,1,0,1,0,1,1
SBT004_000056,4,0,0,1.04545454545455,4,3,4,3,2,1,4,1,2,0,0,0,5,97,1,0,2,4.0,1.0,0,0,1,1,0,1,1,1,1,1
SBT004_000057,3,0,2,2.0,2,3,3,3,4,3,4,5,5,0,0,1,0,3,1,0,1,4.0,1.0,0,1,1,0,0,1,1,1,1,1
SBT004_000058,1,0,2,1.6,3,4,1,1,3,3,4,4,1,0,0,1,4,1,0,0,1,3.0,0.0,1,0,1,0,0,0,0,0,1,1
SBT004_000059,2,0,1,1.5,2,4,3,3,2,3,3,2,1,0,0,0,5,4,0,97,0,,,1,1,1,0,0,0,0,0,1,1
SBT004_000060,2,0,1,1.5,3,5,3,97,5,4,5,5,5,99,1,1,4,1,4,1,2,3.0,0.0,0,1,1,1,0,0,1,0,1,1
SBT004_000061,4,0,0,1.04545454545455,4,2,5,4,3,2,3,3,1,1,0,0,5,2,0,0,1,4.0,0.0,1,1,1,0,1,1,0,0,1,1
SBT004_000062,1,0,2,1.6,2,4,3,3,2,3,2,2,1,0,0,0,5,1,0,0,0,,,1,1,1,0,1,1,0,1,1,1
SBT004_000063,2,1,2,0.6,1,3,4,3,2,2,2,3,1,0,0,0,4,1,1,0,1,3.0,1.0,1,1,1,1,1,1,0,0,1,1
SBT004_000064,2,1,1,0.6,4,2,1,1,4,5,5,4,5,0,1,1,5,0,0,0,0,,,1,0,0,1,1,0,0,1,1,1
SBT004_000065,4,0,0,1.04545454545455,3,1,3,2,3,5,4,5,5,0,0,1,4,2,2,1,1,5.0,1.0,0,1,1,1,97,97,97,97,1,97
SBT004_000066,4,0,0,1.04545454545455,5,1,2,3,4,3,4,4,5,0,0,1,5,97,1,0,2,5.0,0.0,1,1,1,0,0,0,1,0,1,1
SBT004_000067,1,0,2,1.6,1,3,4,4,2,1,5,98,1,1,0,99,5,0,0,98,0,,,0,0,0,1,1,0,0,0,1,1
SBT004_000068,1,0,2,1.6,2,3,5,2,5,4,3,3,5,0,1,0,2,2,2,97,0,,,1,1,1,1,1,1,0,1,1,1
SBT004_000069,1,1,0,0.4,5,1,3,3,3,2,5,2,1,0,0,0,6,0,0,97,0,,,0,0,1,0,0,0,0,1,1,1
SBT004_000070,2,1,2,0.6,3,3,4,3,4,3,3,3,5,0,0,0,4,1,1,0,1,5.0,1.0,1,1,1,1,0,0,1,1,1,1
SBT004_000071,2,1,0,0.6,3,3,3,1,3,2,2,4,4,0,0,0,6,1,1,1,0,,,0,0,0,1,0,1,0,0,1,1
SBT004_000072,4,0,0,1.04545454545455,1,4,2,2,2,1,2,2,1,0,0,0,6,0,1,1,2,5.0,1.0,1,0,0,0,0,0,0,0,1,1
SBT004_000073,1,0,1,1.6,4,3,5,5,4,5,4,3,1,1,1,0,1,2,1,1,1,2.0,1.0,1,1,1,0,0,1,0,1,1,1
SBT004_000074,3,1,2,0.666666666666667,2,2,4,3,5,4,5,5,5,0,1,1,2,4,6,1,0,,,0,1,1,1,1,0,0,0,1,1
SBT004_000075,4,0,0,1.04545454545455,1,2,4,2,1,2,3,3,2,0,0,0,97,1,0,1,0,,,0,1,0,0,1,1,0,1,1,1
SBT004_000076,4,0,0,1.04545454545455,3,5,2,1,1,1,4,3,1,0,0,0,5,0,0,0,0,,,0,1,1,0,0,1,0,1,1,1
SBT004_000077,3,0,0,2.0,4,1,3,3,4,2,5,2,1,0,0,0,6,97,0,0,0,,,1,0,0,0,1,1,0,1,1,1
SBT004_000078,2,0,0,1.5,2,4,5,2,5,5,5,2,1,0,1,0,3,4,0,1,1,5.0,0.0,0,1,0,1,1,1,1,1,1,1
SBT004_000079,1,1,2,0.4,3,3,1,3,2,4,3,1,4,0,0,0,4,1,0,1,0,,,0,1,0,1,1,0,0,1,1,1
SBT004_000080,2,1,1,0.6,3,1,3,3,3,97,4,5,4,0,99,1,6,0,0,1,1,5.0,0.0,1,1,1,1,0,1,0,1,1,1
SBT004_000081,1,0,0,1.6,2,3,4,4,1,1,4,2,2,1,0,0,3,2,1,1,2,5.0,0.0,0,0,1,1,0,1,0,1,1,1
SBT004_000082,4,0,0,1.04545454545455,2,3,1,2,4,5,4,4,3,0,1,1,7,3,1,0,0,,,1,1,0,0,1,0,1,1,1,1
SBT004_000083,4,0,0,1.04545454545455,5,1,2,2,4,4,5,3,1,0,1,0,7,0,0,0,2,5.0,1.0,0,1,1,0,1,0,0,1,1,1
SBT004_000084,4,0,0,1.04545454545455,5,1,4,3,3,3,5,1,5,0,0,0,6,0,0,1,98,,,1,1,0,0,0,0,0,0,1,1
SBT004_000085,3,0,2,2.0,2,3,1,1,1,1,2,1,97,0,0,0,4,0,0,0,0,,,0,0,0,0,0,1,1,0,1,1
SBT004_000086,4,0,0,1.04545454545455,2,4,5,3,2,2,5,5,4,0,0,1,4,0,4,0,1,5.0,1.0,1,0,1,0,1,1,0,1,1,1
SBT004_000087,4,0,1,1.04545454545455,1,4,4,1,2,3,5,3,1,0,0,0,4,1,3,0,0,,,0,0,1,1,1,0,0,1,1,1
SBT004_000088,4,0,0,1.04545454545455,5,1,1,1,3,3,4,3,4,0,0,0,7,0,0,0,3,5.0,1.0,0,1,1,0,0,0,1,1,1,1
SBT004_000089,2,1,2,0.6,3,3,2,3,3,4,5,4,97,0,0,1,6,0,1,97,0,,,1,1,1,0,1,0,0,0,1,1
SBT004_000090,4,0,0,1.04545454545455,4,3,2,3,1,1,4,1,1,0,0,0,3,0,98,1,0,,,1,0,0,0,1,0,0,1,1,1
SBT004_000091,1,0,2,1.6,3,2,4,4,4,4,5,4,5,1,1,1,7,2,2,1,0,,,1,0,0,0,1,0,0,0,1,1
SBT004_000092,4,0,0,1.04545454545455,4,2,2,2,2,3,5,5,1,0,0,1,3,1,1,1,0,,,97,97,97,97,97,97,97,97,97,97
SBT004_000093,3,1,0,0.666666666666667,4,3,2,4,5,5,5,5,1,0,1,1,5,1,2,1,0,,,0,1,1,0,1,1,0,0,1,1
SBT004_000094,4,0,0,1.04545454545455,1,4,1,2,1,1,98,4,1,0,0,99,5,0,0,0,0,,,0,0,0,0,0,0,0,1,1,1
SBT004_000095,4,0,0,1.04545454545455,2,5,2,1,1,1,3,1,5,0,0,0,5,2,0,1,1,5.0,1.0,0,1,1,0,0,1,0,1,1,1
SBT004_000096,1,0,0,1.6,2,3,3,3,3,4,5,5,1,0,0,1,1,2,0,1,0,,,1,1,1,0,0,1,1,0,1,1
SBT004_000097,1,1,0,0.4,3,1,5,3,3,3,5,3,5,0,0,0,6,1,0,0,0,,,1,0,0,0,1,0,0,1,1,1
SBT004_000098,1,1,2,0.4,4,98,3,4,4,3,5,3,4,0,0,0,97,2,2,0,2,4.0,0.0,1,0,0,1,1,0,1,1,1,1
SBT004_000099,2,1,2,0.6,4,2,5,4,5,5,4,4,5,1,1,1,2,3,1,1,2,3.0,1.0,1,1,1,1,0,1,1,0,1,1
SBT004_000100,2,1,2,0.6,5,2,3,2,1,1,3,1,1,0,0,0,7,0,0,0,0,,,1,0,0,1,97,97,97,97,1,97
SBT004_000101,1,1,1,0.4,5,1,5,5,4,4,5,3,1,1,1,0,97,0,0,0,1,4.0,97.0,1,1,0,0,1,0,1,0,1,1
SBT004_000102,2,1,1,0.6,3,3,5,5,5,98,5,3,2,1,99,0,4,2,3,1,0,,,1,1,1,0,0,0,1,0,1,1
SBT004_000103,3,1,2,0.666666666666667,5,2,5,5,5,4,5,97,5,1,1,99,4,1,1,1,0,,,1,1,1,1,1,0,0,1,1,1
SBT004_000104,3,0,2,2.0,4,4,3,1,4,5,3,3,2,0,1,0,4,1,0,0,2,4.0,0.0,0,1,0,1,1,0,1,1,1,1
SBT004_000105,4,1,0,0.5,5,2,2,2,1,1,3,3,1,0,0,0,6,1,0,0,0,,,1,0,1,0,97,97,97,97,1,97
SBT004_000106,4,0,1,1.04545454545455,4,3,4,4,3,2,4,5,97,1,0,1,4,1,2,1,0,,,97,97,97,97,0,0,1,0,97,1
SBT004_000107,4,0,0,1.04545454545455,4,3,4,3,1,2,4,4,5,0,0,1,5,0,0,0,1,5.0,1.0,0,1,1,0,1,0,0,0,1,1
SBT004_000108,3,0,0,2.0,2,5,2,2,5,98,3,2,5,0,99,0,0,2,4,1,0,,,1,0,1,1,1,1,0,0,1,1
SBT004_000109,2,1,2,0.6,2,4,97,3,5,5,2,4,1,99,1,0,4,1,2,1,0,,,0,1,1,1,0,1,0,0,1,1
SBT004_000110,2,0,2,1.5,2,3,1,2,4,4,3,2,3,0,1,0,3,1,0,0,0,,,0,1,1,0,1,1,0,0,1,1
SBT004_000111,4,0,0,1.04545454545455,3,4,3,5,5,2,4,2,4,0,0,0,5,2,0,1,1,5.0,0.0,1,0,0,0,0,1,1,1,1,1
SBT004_000112,1,0,2,1.6,1,4,97,5,3,2,4,3,4,99,0,0,5,1,1,1,0,,,0,0,1,0,0,0,1,1,1,1
SBT004_000113,2,1,2,0.6,3,3,5,4,4,5,3,4,5,1,1,0,5,4,6,0,1,4.0,1.0,1,1,0,0,1,1,1,0,1,1
SBT004_000114,2,1,2,0.6,3,2,3,2,3,3,4,4,1,0,0,1,4,2,0,0,3,4.0,1.0,1,1,0,0,0,1,1,1,1,1
SBT004_000115,3,0,2,2.0,3,5,2,2,3,4,5,4,2,0,0,1,5,3,1,0,0,,,1,1,1,0,0,0,1,1,1,1
SBT004_000116,4,0,0,1.04545454545455,2,4,2,3,3,97,5,1,3,0,99,0,4,0,0,0,0,,,0,0,1,0,0,0,0,1,1,1
SBT004_000117,2,1,2,0.6,5,1,2,4,1,1,2,4,4,0,0,0,6,0,0,0,0,,,0,0,0,1,0,0,0,1,1,1
SBT004_000118,2,1,2,0.6,97,5,5,4,5,5,3,5,5,1,1,0,0,7,6,1,1,3.0,0.0,1,1,1,1,1,1,1,0,1,1
SBT004_000119,3,0,0,2.0,5,3,1,2,2,1,4,4,1,0,0,1,7,1,0,0,0,,,0,0,1,1,0,1,0,0,1,1
SBT004_000120,2,0,2,1.5,2,4,2,1,4,5,4,5,5,0,1,1,6,1,2,0,1,4.0,0.0,1,0,1,0,1,1,1,1,1,1
SBT004_000121,3,1,2,0.666666666666667,5,2,2,1,5,4,4,3,3,0,1,0,5,3,0,97,0,,,0,1,0,1,1,0,0,1,1,1
SBT004_000122,2,1,0,0.6,2,3,3,2,5,3,97,5,5,0,0,99,6,2,0,1,2,5.0,1.0,1,1,1,1,1,1,0,0,1,1
SBT004_000123,1,1,0,0.4,5,1,3,4,1,3,4,1,2,0,0,0,7,2,0,1,1,3.0,1.0,1,1,1,1,0,0,1,1,1,1
SBT004_000124,4,0,1,1.04545454545455,5,2,2,3,4,4,5,3,5,0,1,0,4,3,1,1,0,,,1,1,0,0,0,0,0,0,1,1
SBT004_000125,4,0,0,1.04545454545455,5,1,4,5,1,1,3,1,1,1,0,0,7,0,0,0,0,,,1,0,0,1,1,0,1,1,1,1
SBT004_000126,1,0,2,1.6,5,2,2,2,2,5,3,3,5,0,0,0,4,0,1,1,0,,,0,0,1,1,97,97,97,97,1,97
SBT004_000127,2,1,0,0.6,4,2,3,2,5,5,4,4,2,0,1,1,7,2,0,1,2,4.0,1.0,1,1,1,1,1,0,1,0,1,1
SBT004_000128,2,1,2,0.6,3,97,4,2,2,4,3,4,5,0,0,0,98,2,2,1,1,5.0,1.0,0,1,1,0,1,0,0,0,1,1
SBT004_000129,2,1,1,0.6,3,3,1,2,97,3,5,98,5,0,99,99,6,1,0,1,0,,,1,0,0,1,0,0,0,1,1,1
SBT004_000130,3,1,1,0.666666666666667,3,3,4,5,3,5,5,5,1,1,0,1,3,2,2,0,0,,,1,1,1,0,0,1,1,1,1,1
SBT004_000131,2,0,0,1.5,4,3,4,3,2,3,4,1,1,0,0,0,4,0,0,0,0,,,1,1,0,0,1,0,1,1,1,1
SBT004_000132,1,0,0,1.6,4,3,4,5,5,5,3,2,1,1,1,0,4,0,1,1,0,,,1,1,1,0,0,1,0,1,1,1
SBT004_000133,3,0,1,2.0,4,4,2,1,97,4,97,4,4,0,99,99,4,1,2,0,0,,,0,0,1,0,1,1,0,0,1,1
SBT004_000134,1,1,2,0.4,3,3,1,1,1,2,1,1,5,0,0,0,7,1,0,0,0,,,0,0,0,0,0,1,0,0,1,1
SBT004_000135,2,1,2,0.6,3,4,4,4,5,5,5,5,5,1,1,1,3,2,2,1,3,5.0,1.0,1,1,0,1,0,1,0,0,1,1
SBT004_000136,2,1,1,0.6,1,5,1,1,2,2,5,97,5,0,0,99,3,97,4,0,1,3.0,1.0,1,1,1,1,1,1,0,0,1,1
SBT004_000137,3,0,0,2.0,1,4,3,4,5,4,4,5,1,0,1,1,2,97,3,0,2,4.0,0.0,1,1,1,1,0,0,1,1,1,1
SBT004_000138,3,0,2,2.0,3,3,1,1,3,3,2,2,5,0,0,0,3,98,2,0,0,,,0,1,1,1,1,1,0,1,1,1
SBT004_000139,3,0,0,2.0,4,1,3,98,1,1,4,2,5,99,0,0,7,0,1,97,0,,,1,1,0,0,0,0,1,0,1,1
SBT004_000140,1,0,2,1.6,1,5,3,4,5,5,5,5,5,0,1,1,2,6,1,0,2,5.0,1.0,1,0,1,0,1,0,1,1,1,1
SBT004_000141,2,0,1,1.5,2,5,2,1,5,2,2,3,1,0,0,0,4,0,97,1,1,4.0,0.0,1,1,1,0,1,0,1,1,1,1
SBT004_000142,2,1,2,0.6,2,5,5,3,5,3,4,4,1,0,0,1,4,4,1,97,0,,,0,1,1,0,1,1,1,0,1,1
SBT004_000143,4,0,1,1.04545454545455,2,4,3,2,2,1,3,2,1,0,0,0,7,0,0,0,0,,,0,0,1,1,0,1,1,0,1,1
SBT004_000144,1,0,2,1.6,98,1,3,5,2,2,3,2,5,0,0,0,6,0,0,0,2,5.0,1.0,0,1,1,1,1,0,0,0,1,1
SBT004_000145,1,0,2,1.6,3,3,5,5,5,4,5,5,4,1,1,1,4,4,3,97,2,3.0,1.0,1,1,1,1,1,0,0,0,1,1
SBT004_000146,4,0,0,1.04545454545455,2,1,4,4,1,1,5,1,1,1,0,0,6,0,0,0,97,,,1,1,1,0,0,1,0,0,1,1
SBT004_000147,2,1,2,0.6,3,1,97,97,5,5,3,5,1,99,1,0,5,2,3,0,0,,,0,1,1,0,1,1,1,0,1,1
SBT004_000148,2,1,2,0.6,3,4,4,3,97,5,5,2,5,0,99,0,3,2,2,1,2,3.0,1.0,1,1,1,1,1,1,1,1,1,1
SBT004_000149,2,0,2,1.5,1,3,1,1,4,3,3,4,4,0,0,0,3,1,2,97,0,,,0,1,1,1,0,1,1,0,1,1
SBT004_000150,2,1,0,0.6,3,1,2,3,97,4,5,1,1,0,99,0,6,0,0,0,0,,,0,1,1,1,1,0,0,1,1,1
SBT004_000151,4,0,1,1.04545454545455,4,97,97,2,4,5,4,5,2,99,1,1,5,1,3,0,0,,,1,1,0,0,98,98,98,98,1,98
SBT004_000152,1,1,0,0.4,3,3,2,1,98,2,3,4,5,0,99,0,5,3,0,0,3,5.0,1.0,0,0,1,0,1,1,0,0,1,1
SBT004_000153,2,0,2,1.5,2,4,2,1,3,2,4,3,1,0,0,0,6,0,0,0,0,,,0,1,0,0,1,0,0,0,1,1
SBT004_000154,1,1,2,0.4,1,5,4,4,3,5,5,3,2,1,0,0,3,2,1,1,97,,,1,1,1,1,0,1,1,0,1,1
SBT004_000155,2,0,2,1.5,1,5,1,1,4,4,4,3,2,0,1,0,2,1,1,0,0,,,97,97,97,97,1,0,0,1,97,1
SBT004_000156,4,0,0,1.04545454545455,3,3,3,4,1,2,3,1,1,0,0,0,6,98,0,0,0,,,1,0,0,0,97,97,97,97,1,97
SBT004_000157,1,0,2,1.6,3,3,1,1,5,3,2,1,5,0,0,0,4,2,0,98,2,3.0,1.0,0,0,1,0,1,1,0,0,1,1
SBT004_000158,3,0,1,2.0,3,4,3,1,2,2,4,1,5,0,0,0,7,1,0,1,0,,,0,0,0,1,1,1,0,1,1,1
SBT004_000159,2,1,2,0.6,2,3,5,5,5,4,2,4,1,1,1,0,1,3,1,1,0,,,0,1,0,1,1,1,1,0,1,1
SBT004_000160,2,0,2,1.5,3,2,3,2,2,4,4,2,4,0,0,0,6,1,1,1,1,5.0,1.0,1,0,0,1,0,0,0,1,1,1
SBT004_000161,1,0,0,1.6,5,2,3,3,4,4,1,2,1,0,1,0,4,1,0,1,1,4.0,0.0,1,1,1,0,1,0,1,1,1,1
SBT004_000162,4,0,0,1.04545454545455,2,4,98,2,4,3,3,4,2,99,0,0,5,3,0,0,0,,,1,0,0,0,1,0,0,0,1,1
SBT004_000163,2,1,1,0.6,3,2,4,4,3,2,5,5,4,1,0,1,4,0,0,1,2,4.0,0.0,1,1,1,1,1,1,1,0,1,1
SBT004_000164,1,1,2,0.4,4,3,2,2,4,2,98,4,4,0,0,99,5,4,2,0,2,5.0,1.0,1,0,1,0,1,0,1,1,1,1
SBT004_000165,2,1,2,0.6,5,2,4,4,3,5,5,5,5,1,0,1,3,0,2,1,0,,,1,0,0,1,1,0,0,1,1,1
SBT004_000166,3,1,0,0.666666666666667,5,1,3,3,3,3,4,2,4,0,0,0,6,2,0,1,3,5.0,1.0,1,1,1,1,1,0,1,1,1,1
SBT004_000167,4,0,0,1.04545454545455,4,1,3,4,2,2,5,2,5,0,0,0,5,0,0,0,1,5.0,0.0,1,1,1,1,1,0,1,1,1,1
SBT004_000168,2,0,1,1.5,1,4,4,1,4,3,5,4,1,0,0,1,3,5,2,1,0,,,0,1,0,1,0,1,0,1,1,1
SBT004_000169,4,0,0,1.04545454545455,5,1,1,1,1,1,2,2,1,0,0,0,7,1,0,0,0,,,0,0,1,1,1,0,0,0,1,1
SBT004_000170,4,0,0,1.04545454545455,4,1,1,2,4,5,4,2,5,0,1,0,6,1,0,0,2,5.0,0.0,1,1,0,1,1,0,0,0,1,1
SBT004_000171,4,0,0,1.04545454545455,4,4,2,2,4,4,3,5,5,0,1,0,3,0,0,0,2,5.0,1.0,0,0,1,0,0,0,0,0,1,1
SBT004_000172,4,0,0,1.04545454545455,5,1,3,3,1,4,5,97,1,0,0,99,6,1,0,0,2,97.0,1.0,1,1,0,1,1,1,0,1,1,1
