respondent_id,age_band,children_under18,work_pattern,online_grocery_pre,digital_confidence_pre,budget_pressure_pre,mealplan_days_pre,assignment,weight_base,followup_status,followup_attempts,receipt_log,receipt_count,recall_post,awareness_pre,awareness_post,consideration_pre,consideration_post,usage_pre,usage_post,meal_stress_pre,meal_stress_post,campaign_clear_post,campaign_relevant_post,campaign_trust_post,campaign_channel_post,info_search_post,usage_days_post,satisfaction_post,planning_confidence_post
SBT005_0049,2,0,1,0,3,3,2,0,1.2188097233,1,1,0,0,0,0,0,5,5,0,0,3,3,,,,,0,,,4
SBT005_0050,2,1,2,1,4,3,1,0,0.6801943153,1,1,0,0,0,1,1,3,3,0,0,3,4,,,,,1,,,4
SBT005_0051,2,1,2,1,2,2,4,0,0.6801943153,1,2,1,1,1,98,1,2,2,97,0,3,2,5,4,5,3,0,,,2
SBT005_0052,1,1,1,0,4,3,2,1,1.1657532558,0,4,1,2,,0,,2,,0,,4,,,,,,,,,
SBT005_0053,2,1,1,1,3,4,3,1,0.6801943153,1,1,1,1,1,0,0,3,3,0,0,3,4,3,4,4,97,1,,,2
SBT005_0054,1,0,1,0,1,4,3,0,1.1657532558,1,1,0,0,0,0,0,3,5,0,0,5,5,,,,,0,,,1
SBT005_0055,1,0,1,0,2,3,1,1,1.1657532558,0,4,1,4,,0,,1,,0,,4,,,,,,,,,
SBT005_0056,1,0,1,1,4,1,4,1,0.6557362064,1,1,1,2,1,0,1,97,5,0,0,1,2,4,3,5,1,1,,,5
SBT005_0057,2,1,1,0,1,5,3,1,1.2188097233,1,2,1,2,1,0,0,1,1,0,0,5,4,3,1,2,1,1,,,1
SBT005_0058,1,0,1,1,1,2,2,0,0.6557362064,1,2,0,0,0,0,97,1,1,0,0,4,2,,,,,0,,,2
SBT005_0059,1,0,1,1,4,3,5,1,0.6557362064,1,1,0,0,0,0,0,98,1,0,0,3,3,,,,,0,,,3
SBT005_0060,4,0,3,0,3,3,4,0,1.9875626711,1,3,0,0,1,1,1,3,5,0,1,4,5,3,4,5,2,0,2,5,2
SBT005_0061,2,1,2,1,4,5,1,1,0.6801943153,1,4,1,2,1,0,0,3,3,0,0,5,5,3,4,3,2,0,,,2
SBT005_0062,2,1,3,1,5,4,3,1,0.6801943153,1,3,1,3,1,1,1,4,4,0,0,5,5,5,5,5,1,0,,,5
SBT005_0063,2,1,1,1,4,3,4,1,0.6801943153,1,1,1,3,1,0,1,5,5,0,0,3,3,4,3,3,1,1,,,3
SBT005_0064,2,0,1,1,3,3,4,0,0.6801943153,1,1,0,0,0,1,1,5,5,0,1,4,4,,,,,1,1,5,4
SBT005_0065,1,0,1,1,3,3,2,0,0.6557362064,1,1,1,1,97,0,0,2,3,0,0,2,3,,,,,0,,,4
SBT005_0066,2,0,1,0,1,4,1,1,1.2188097233,1,2,0,0,0,0,0,1,1,0,0,5,5,,,,,0,,,2
SBT005_0067,2,1,1,0,99,5,3,0,1.2188097233,1,1,0,0,1,1,1,2,2,0,0,5,5,3,4,2,3,1,,,2
SBT005_0068,2,1,3,0,2,5,2,0,1.2188097233,1,2,0,0,0,0,0,2,3,0,0,5,5,,,,,0,,,1
SBT005_0069,3,0,2,1,4,4,2,0,0.9404938575,1,1,0,0,0,1,1,3,3,0,0,3,5,,,,,0,,,3
SBT005_0070,2,1,1,0,2,4,1,0,1.2188097233,1,4,0,0,0,0,0,1,1,0,0,5,5,,,,,0,,,2
SBT005_0071,2,1,3,1,3,3,5,0,0.6801943153,1,1,1,1,1,1,1,98,5,0,0,3,2,4,5,5,2,1,,,3
SBT005_0072,2,1,2,1,2,5,3,1,0.6801943153,1,4,1,1,1,0,1,5,5,0,1,5,5,4,4,5,1,0,1,5,2
SBT005_0073,1,0,1,1,3,3,2,0,0.6557362064,1,3,1,1,0,0,0,3,4,0,0,4,97,,,,,0,,,2
SBT005_0074,2,0,1,1,5,2,5,1,0.6801943153,1,1,1,3,1,0,1,4,5,0,0,1,2,3,2,2,1,0,,,4
SBT005_0075,1,1,2,1,4,5,4,0,0.6557362064,1,4,0,0,0,0,0,2,2,0,0,5,5,,,,,1,,,3
SBT005_0076,2,1,1,1,2,3,3,0,0.6801943153,0,4,0,0,,1,,3,,0,,3,,,,,,,,,
SBT005_0077,3,0,3,0,5,3,2,0,1.6623641428,1,1,0,0,0,0,0,1,2,0,0,3,3,,,,,0,,,1
SBT005_0078,2,0,1,1,5,3,4,1,0.6801943153,1,3,1,3,1,0,0,5,5,0,0,3,4,5,5,4,1,0,,,4
SBT005_0079,4,0,3,0,4,3,4,0,1.9875626711,1,4,0,0,1,0,0,3,2,0,0,3,3,4,2,3,3,0,,,3
SBT005_0080,3,0,3,0,3,3,4,0,1.6623641428,1,2,0,0,0,1,1,3,3,0,0,4,3,,,,,0,,,2
SBT005_0081,1,0,1,1,4,2,3,0,0.6557362064,0,4,0,0,,0,,4,,0,,2,,,,,,,,,
SBT005_0082,2,0,1,1,3,3,3,0,0.6801943153,1,2,0,0,0,1,1,3,3,0,0,3,2,,,,,1,,,3
SBT005_0083,2,1,1,1,5,5,6,1,0.6801943153,1,4,1,3,1,1,0,5,5,0,0,5,3,5,5,5,2,1,,,5
SBT005_0084,1,0,1,1,5,1,5,0,0.6557362064,1,1,0,0,1,1,1,4,5,0,0,2,2,5,5,5,2,0,,,5
SBT005_0085,2,1,1,0,2,3,1,0,1.2188097233,0,4,0,0,,0,,2,,0,,4,,,,,,,,,
SBT005_0086,2,1,2,0,5,3,4,1,1.2188097233,0,4,0,0,,1,,3,,0,,99,,,,,,,,,
SBT005_0087,4,0,3,0,2,2,3,0,1.9875626711,1,3,0,0,0,0,0,2,3,0,0,2,2,,,,,0,,,3
SBT005_0088,2,1,1,1,4,5,4,0,0.6801943153,1,3,0,0,0,1,1,4,4,0,0,5,5,,,,,0,,,4
SBT005_0089,1,0,3,1,4,99,2,0,0.6557362064,1,2,1,2,0,1,1,3,3,0,0,5,5,,,,,0,,,2
SBT005_0090,3,0,2,1,5,3,5,0,0.9404938575,1,1,1,3,1,0,1,3,4,0,0,4,3,5,4,3,1,1,,,3
SBT005_0091,2,1,2,0,4,4,6,1,1.2188097233,1,2,0,0,0,0,0,3,3,0,0,4,4,,,,,1,,,4
SBT005_0092,2,0,1,1,3,4,3,1,0.6801943153,1,1,1,1,1,1,1,2,3,0,0,3,4,4,5,4,3,1,,,5
SBT005_0093,2,1,2,1,5,5,6,1,0.6801943153,0,4,1,2,,1,,5,,1,,5,,,,,,,,,
SBT005_0094,1,0,2,0,2,3,0,1,1.1657532558,0,4,0,0,,0,,1,,0,,4,,,,,,,,,
SBT005_0095,1,1,2,1,4,4,1,0,0.6557362064,0,4,0,0,,1,,2,,0,,3,,,,,,,,,
SBT005_0096,2,1,1,1,4,5,2,0,0.6801943153,0,4,0,0,,0,,1,,0,,5,,,,,,,,,
SBT005_0097,4,0,1,1,4,3,4,0,1.0474992456,1,2,1,2,1,1,1,3,2,0,1,4,3,5,4,5,2,1,1,5,4
SBT005_0098,4,0,3,0,1,2,1,0,1.9875626711,1,1,0,0,0,0,0,1,2,0,0,4,1,,,,,0,,,3
SBT005_0099,2,1,1,0,4,4,2,0,1.2188097233,1,2,0,0,1,1,1,3,4,0,1,3,2,3,4,4,3,0,3,4,4
SBT005_0100,1,0,1,1,5,1,3,0,0.6557362064,1,1,0,0,98,1,1,2,3,98,0,1,1,,,,,0,,,4
SBT005_0101,2,0,2,1,4,3,2,1,0.6801943153,1,1,0,0,0,0,98,98,3,0,0,4,4,,,,,0,,,4
SBT005_0102,2,1,2,1,3,4,2,0,0.6801943153,0,4,0,0,,0,,3,,0,,5,,,,,,,,,
SBT005_0103,1,1,1,1,5,3,2,1,0.6557362064,0,4,1,1,,0,,2,,0,,3,,,,,,,,,
SBT005_0104,1,0,1,1,3,4,2,0,0.6557362064,0,4,1,3,,0,,2,,0,,4,,,,,,,,,
SBT005_0105,3,0,2,1,4,3,2,0,0.9404938575,0,4,1,1,,0,,1,,0,,3,,,,,,,,,
SBT005_0106,4,0,3,0,3,3,2,1,1.9875626711,1,1,1,2,0,0,0,2,2,0,0,4,4,,,,,0,,,3
SBT005_0107,2,1,3,1,2,4,3,0,0.6801943153,1,3,0,0,97,0,0,3,3,0,0,5,4,,,,,0,,,4
SBT005_0108,4,0,2,1,3,2,5,1,1.0474992456,1,3,0,0,0,1,1,4,5,1,1,3,2,,,,,0,2,3,5
SBT005_0109,2,1,1,0,98,3,97,0,1.2188097233,0,4,0,0,,1,,2,,0,,4,,,,,,,,,
SBT005_0110,2,1,2,1,5,4,3,0,0.6801943153,1,1,0,0,0,0,0,2,4,0,0,3,4,,,,,0,,,5
SBT005_0111,1,0,1,1,5,1,4,1,0.6557362064,0,4,1,3,,0,,1,,0,,2,,,,,,,,,
SBT005_0112,3,1,1,0,1,3,5,0,1.6623641428,1,2,0,0,0,0,0,1,1,0,0,3,4,,,,,0,,,3
SBT005_0113,2,0,1,0,2,5,3,1,1.2188097233,0,4,0,0,,1,,1,,0,,5,,,,,,,,,
SBT005_0114,2,1,1,1,4,3,4,0,0.6801943153,1,1,1,1,1,0,0,4,5,0,0,3,3,5,97,4,2,1,,,4
SBT005_0115,3,0,1,1,3,4,1,1,0.9404938575,1,3,1,2,1,1,1,2,1,0,0,4,3,5,5,4,1,0,,,3
SBT005_0116,4,0,3,0,2,5,1,0,1.9875626711,0,4,0,0,,0,,2,,99,,3,,,,,,,,,
SBT005_0117,1,0,2,0,2,3,5,1,1.1657532558,1,2,0,0,0,0,0,1,1,0,0,4,4,,,,,0,,,1
SBT005_0118,2,0,1,1,2,2,1,1,0.6801943153,1,1,0,0,0,0,1,3,4,0,0,3,3,,,,,0,,,1
SBT005_0119,3,0,3,1,2,5,4,0,0.9404938575,0,4,0,0,,0,,3,,0,,5,,,,,,,,,
SBT005_0120,2,0,1,1,4,3,4,1,0.6801943153,1,1,1,3,1,1,1,5,5,0,0,3,5,5,5,4,1,0,,,3
SBT005_0121,3,0,1,1,4,2,3,1,0.9404938575,0,4,0,0,,0,,3,,0,,98,,,,,,,,,
SBT005_0122,2,1,3,0,3,4,6,0,1.2188097233,1,4,0,0,0,0,0,2,2,0,0,4,3,,,,,0,,,4
SBT005_0123,2,1,3,1,2,97,0,0,0.6801943153,0,4,1,2,,0,,4,,0,,5,,,,,,,,,
SBT005_0124,2,0,1,0,97,5,1,0,1.2188097233,1,2,0,0,1,1,1,4,4,0,0,5,5,3,3,2,3,0,,,2
SBT005_0125,4,0,3,0,2,4,1,0,1.9875626711,1,1,0,0,1,0,0,1,2,0,0,4,4,3,3,1,2,0,,,97
SBT005_0126,2,0,1,0,2,4,4,0,1.2188097233,1,2,1,3,0,0,1,1,2,0,98,4,4,,,,,1,,,4
SBT005_0127,1,1,1,0,5,3,4,0,1.1657532558,0,4,0,0,,0,,2,,0,,4,,,,,,,,,
SBT005_0128,2,0,2,0,2,2,1,1,1.2188097233,1,4,0,0,0,0,0,3,4,0,0,3,1,,,,,0,,,4
SBT005_0129,2,0,1,1,4,2,1,0,0.6801943153,1,1,1,2,1,0,0,3,3,97,0,1,98,3,5,5,2,0,,,3
SBT005_0130,1,0,3,1,97,4,5,0,0.6557362064,1,3,1,2,0,1,0,5,5,97,0,4,5,,,,,0,,,4
SBT005_0131,3,0,2,1,2,3,3,0,0.9404938575,1,2,0,0,0,1,1,4,5,1,1,3,2,,,,,0,0,3,3
SBT005_0132,1,0,1,1,5,4,5,1,0.6557362064,0,4,1,1,,0,,2,,0,,5,,,,,,,,,
SBT005_0133,2,0,1,1,5,3,2,1,0.6801943153,1,4,0,0,1,0,0,3,97,0,0,2,4,97,4,4,1,0,,,3
SBT005_0134,2,1,2,1,5,5,5,0,0.6801943153,1,2,0,0,1,1,1,5,5,0,0,4,4,5,5,5,1,1,,,5
SBT005_0135,2,1,3,1,3,1,3,0,0.6801943153,0,4,0,0,,0,,2,,0,,2,,,,,,,,,
SBT005_0136,2,0,1,1,5,2,6,1,0.6801943153,1,2,1,4,1,0,1,5,5,0,0,2,1,5,5,97,1,1,,,5
SBT005_0137,1,0,2,0,5,3,4,0,1.1657532558,1,1,1,2,1,1,1,2,3,0,0,2,3,4,2,5,2,0,,,5
SBT005_0138,1,0,1,0,2,3,3,0,1.1657532558,1,2,0,0,0,0,0,1,1,0,0,2,2,,,,,1,,,4
SBT005_0139,4,0,3,0,4,4,2,1,1.9875626711,1,2,1,1,0,0,0,1,1,0,0,4,5,,,,,0,,,4
SBT005_0140,2,0,1,1,5,2,5,0,0.6801943153,1,3,1,2,1,0,1,2,2,0,0,3,2,5,5,4,1,1,,,4
SBT005_0141,1,0,1,1,3,3,4,1,0.6557362064,1,1,1,1,1,0,0,3,4,0,0,3,4,5,5,4,2,0,,,2
SBT005_0142,3,0,3,0,2,1,1,1,1.6623641428,1,1,1,1,0,0,1,1,3,0,0,1,1,,,,,0,,,4
SBT005_0143,2,0,1,0,3,2,4,0,1.2188097233,1,1,0,0,0,0,0,1,1,0,0,1,2,,,,,0,,,4
SBT005_0144,1,0,1,0,2,2,2,0,1.1657532558,1,4,0,0,0,0,0,1,1,0,0,2,2,,,,,0,,,5
SBT005_0145,2,1,2,1,5,5,97,1,0.6801943153,1,1,1,4,1,0,1,5,5,0,0,5,5,5,5,5,1,0,,,4
SBT005_0146,3,0,1,1,4,2,4,0,0.9404938575,1,1,1,1,1,0,1,4,4,0,0,2,1,3,5,5,2,1,,,4
SBT005_0147,2,1,2,1,4,4,4,1,0.6801943153,1,2,1,1,1,1,1,3,4,0,0,4,4,3,3,4,1,1,,,4
SBT005_0148,2,1,1,0,2,4,1,0,1.2188097233,1,1,0,0,0,0,98,1,1,0,97,5,5,,,,,0,,,2
SBT005_0149,2,0,1,1,5,3,3,1,0.6801943153,0,4,1,2,,0,,3,,0,,4,,,,,,,,,
SBT005_0150,2,0,2,1,3,2,5,1,0.6801943153,1,1,0,0,1,1,1,4,5,0,0,4,3,4,2,1,3,0,,,3
SBT005_0151,1,1,1,1,2,4,1,1,0.6557362064,1,2,1,1,97,0,1,2,3,0,0,5,1,,,,,0,,,3
SBT005_0152,3,0,2,0,4,3,1,1,1.6623641428,1,1,1,1,0,0,1,2,3,0,0,5,3,,,,,0,,,2
SBT005_0153,1,1,1,0,2,3,3,0,1.1657532558,1,2,0,0,0,0,0,99,3,0,0,4,3,,,,,0,,,3
SBT005_0154,1,0,3,0,4,1,6,1,1.1657532558,1,1,1,1,0,0,0,3,4,0,0,1,2,,,,,1,,,4
SBT005_0155,1,0,1,1,2,2,6,0,0.6557362064,1,2,0,0,0,0,0,1,1,0,0,97,1,,,,,0,,,3
SBT005_0156,2,0,3,1,5,3,3,0,0.6801943153,1,2,0,0,0,0,0,3,3,0,0,3,3,,,,,0,,,5
SBT005_0157,2,1,3,1,5,2,5,0,0.6801943153,1,2,0,0,0,0,1,3,3,0,0,4,3,,,,,1,,,4
SBT005_0158,2,1,1,1,5,5,4,1,0.6801943153,0,4,1,1,,1,,3,,0,,4,,,,,,,,,
SBT005_0159,3,1,3,1,5,2,4,0,0.9404938575,1,1,1,2,1,1,1,5,5,1,1,1,3,4,3,5,2,1,5,5,4
SBT005_0160,1,1,1,0,3,99,3,0,1.1657532558,0,4,0,0,,0,,1,,0,,5,,,,,,,,,
SBT005_0161,1,0,2,1,4,5,3,1,0.6557362064,1,4,0,0,0,1,1,5,4,1,1,5,5,,,,,1,2,5,2
SBT005_0162,2,1,2,0,1,5,2,1,1.2188097233,0,4,1,2,,1,,2,,0,,99,,,,,,,,,
SBT005_0163,1,1,1,1,2,1,2,0,0.6557362064,0,4,0,0,,1,,1,,0,,2,,,,,,,,,
SBT005_0164,1,1,1,0,2,4,4,0,1.1657532558,1,1,1,1,0,0,1,2,2,0,0,5,5,,,,,0,,,2
SBT005_0165,2,1,2,1,2,5,3,0,0.6801943153,0,4,0,0,,0,,97,,0,,5,,,,,,,,,
SBT005_0166,1,0,2,1,5,3,7,0,0.6557362064,0,4,1,3,,1,,3,,0,,4,,,,,,,,,
SBT005_0167,3,0,1,0,5,2,4,1,1.6623641428,1,1,1,3,1,0,1,4,4,0,0,2,99,5,4,4,1,1,,,2
SBT005_0168,2,1,1,1,4,4,1,1,0.6801943153,0,4,0,0,,1,,5,,0,,5,,,,,,,,,
SBT005_0169,2,0,2,1,4,5,3,0,0.6801943153,1,1,1,2,1,0,0,1,2,0,0,4,5,97,3,2,2,0,,,3
SBT005_0170,1,1,1,0,3,4,5,0,1.1657532558,1,3,0,0,0,1,1,5,5,0,0,1,4,,,,,1,,,4
SBT005_0171,1,0,2,1,4,98,3,1,0.6557362064,1,2,1,3,1,97,0,2,2,0,0,3,3,5,4,5,3,0,,,4
SBT005_0172,1,1,1,0,3,4,2,0,1.1657532558,1,1,0,0,99,1,1,4,4,0,0,3,5,,,,,1,,,4
SBT005_0173,3,0,1,1,5,4,5,1,0.9404938575,1,1,1,3,1,0,0,5,5,0,0,4,4,5,5,5,1,1,,,3
SBT005_0174,2,1,1,1,4,3,2,1,0.6801943153,1,3,1,2,1,0,0,3,5,0,0,4,5,4,5,5,1,0,,,3
SBT005_0175,1,1,1,0,3,4,4,0,1.1657532558,1,1,0,0,1,0,0,2,3,0,0,3,3,4,2,3,2,99,,,4
SBT005_0176,2,1,1,1,1,2,2,0,0.6801943153,0,4,0,0,,0,,1,,0,,2,,,,,,,,,
SBT005_0177,2,1,1,1,4,2,4,1,0.6801943153,1,2,1,2,1,1,1,5,5,0,0,2,2,5,97,4,1,1,,,4
SBT005_0178,1,0,3,0,4,2,99,1,1.1657532558,1,2,1,2,1,0,1,3,3,0,0,2,3,3,3,5,3,0,,,5
SBT005_0179,2,1,1,0,4,1,6,1,1.2188097233,1,1,1,3,1,1,1,2,3,0,0,2,98,5,4,5,2,1,,,5
SBT005_0180,2,1,1,1,3,3,3,1,0.6801943153,0,4,1,3,,1,,2,,0,,4,,,,,,,,,
SBT005_0181,1,1,1,0,1,2,2,1,1.1657532558,0,4,1,2,,0,,1,,0,,3,,,,,,,,,
SBT005_0182,2,1,3,1,4,4,4,1,0.6801943153,1,4,1,3,1,0,1,4,5,0,1,5,4,5,5,4,3,0,4,5,3
SBT005_0183,2,1,3,0,1,3,1,0,1.2188097233,0,4,0,0,,0,,1,,0,,4,,,,,,,,,
SBT005_0184,4,0,1,0,3,1,2,0,1.9875626711,1,2,0,0,0,1,1,2,1,0,0,1,3,,,,,0,,,5
SBT005_0185,2,0,1,0,1,2,4,1,1.2188097233,1,3,0,0,0,97,0,2,2,0,0,1,2,,,,,0,,,4
SBT005_0186,2,0,3,1,5,3,1,1,0.6801943153,1,2,1,2,1,1,1,4,5,0,1,2,2,5,5,5,2,0,3,5,5
SBT005_0187,4,0,3,0,2,4,2,0,1.9875626711,1,1,0,0,0,1,1,2,3,0,0,4,4,,,,,0,,,3
SBT005_0188,2,0,1,1,3,2,1,1,0.6801943153,1,1,0,0,0,0,97,1,1,99,0,3,3,,,,,0,,,5
SBT005_0189,2,1,2,1,2,5,3,0,0.6801943153,0,4,0,0,,1,,3,,0,,97,,,,,,,,,
SBT005_0190,3,0,2,1,4,3,5,0,0.9404938575,1,1,1,3,1,1,1,2,3,0,0,4,4,5,5,5,1,0,,,2
SBT005_0191,2,1,1,1,4,4,2,1,0.6801943153,1,1,0,0,0,0,0,4,5,0,0,2,4,,,,,0,,,4
SBT005_0192,2,1,3,1,2,3,2,1,0.6801943153,1,3,1,4,0,0,1,2,3,0,0,4,3,,,,,0,,,3
SBT005_0193,1,0,2,1,5,2,4,1,0.6557362064,0,4,1,3,,0,,3,,0,,3,,,,,,,,,
SBT005_0194,4,0,2,0,3,4,3,1,1.9875626711,1,3,0,0,0,97,1,2,2,0,0,5,3,,,,,1,,,2
SBT005_0195,3,0,2,0,4,2,6,1,1.6623641428,1,1,1,1,0,0,1,2,2,0,0,3,5,,,,,0,,,3
SBT005_0196,1,0,2,1,5,2,6,0,0.6557362064,1,1,0,0,1,0,0,5,5,0,0,2,3,4,4,3,3,1,,,5
SBT005_0197,3,0,1,1,5,5,3,1,0.9404938575,1,2,1,2,1,1,1,3,3,0,0,4,4,4,4,4,1,0,,,4
SBT005_0198,2,1,1,1,98,4,3,1,0.6801943153,1,4,1,3,0,0,1,1,1,0,0,4,5,,,,,0,,,3
SBT005_0199,2,0,1,1,4,3,3,0,0.6801943153,1,4,0,0,0,0,1,3,4,0,0,3,3,,,,,0,,,3
SBT005_0200,2,1,1,1,1,3,1,1,0.6801943153,1,1,0,0,0,0,0,1,1,0,0,3,5,,,,,0,,,2
SBT005_0201,3,0,1,0,2,97,0,1,1.6623641428,1,1,0,0,0,0,0,1,1,0,0,3,3,,,,,0,,,3
SBT005_0202,2,1,2,0,1,5,2,0,1.2188097233,1,1,0,0,0,0,0,1,1,0,0,5,5,,,,,0,,,3
SBT005_0203,4,0,3,1,97,97,3,0,1.0474992456,1,2,0,0,1,1,1,3,3,0,0,2,3,5,5,5,3,0,,,3
