respondent_id,age_band,household_children,budget_band,meal_planning_role,weekday_time_pressure_5,current_planning_method,digital_confidence_5,plan_ahead_days_7,subscription_spend_band,household_size_band,design_stratum,wt_design,assigned_price_arm,assigned_price_gbp,postprice_responded,intent_5,value_5,fit_5,affordability_5,ease_5,trust_5,differentiation_5,certainty_5,primary_use_goal,anticipated_use_days_7,reason_not_commit,time_pressed_family
SBT006_0015,1,1,2,2,5,3,4,4,1,3,2,0.816190807273167,3,10,1,3.0,2.0,5.0,3.0,3.0,3.0,2.0,5.0,1.0,1.0,2.0,1
SBT006_0016,1,0,3,1,3,2,4,4,2,2,6,0.99756654222276,3,10,1,2.0,2.0,4.0,4.0,4.0,3.0,2.0,97.0,4.0,,5.0,0
SBT006_0017,2,0,3,2,1,2,4,4,0,2,6,0.99756654222276,1,4,1,4.0,3.0,3.0,5.0,4.0,5.0,97.0,4.0,4.0,6.0,,0
SBT006_0018,3,0,3,1,5,4,3,2,3,2,6,0.99756654222276,4,13,1,3.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,1.0,4.0,5.0,0
SBT006_0019,2,0,2,1,2,3,3,4,1,2,5,1.24695817777845,4,13,1,1.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,0.0,,1.0,0
SBT006_0020,2,1,2,1,5,1,3,3,2,4,2,0.816190807273167,2,7,1,2.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,0.0,,1.0,1
SBT006_0021,2,1,2,2,4,3,4,2,3,4,2,0.816190807273167,1,4,1,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0,5.0,,1
SBT006_0022,2,1,1,2,3,1,2,4,1,4,1,0.725502939798371,3,10,1,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,5.0,,0
SBT006_0023,2,1,1,1,5,1,5,4,3,4,1,0.725502939798371,1,4,1,5.0,5.0,5.0,4.0,5.0,5.0,97.0,5.0,2.0,98.0,,1
SBT006_0024,1,0,2,2,3,1,4,5,1,1,5,1.24695817777845,3,10,1,5.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,3.0,,0
SBT006_0025,2,1,2,2,5,1,5,5,1,3,2,0.816190807273167,2,7,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,,1
SBT006_0026,2,1,1,1,5,5,3,1,0,4,1,0.725502939798371,2,7,1,2.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,2.0,,3.0,1
SBT006_0027,4,0,3,2,2,4,5,6,1,1,6,0.99756654222276,4,13,1,4.0,4.0,97.0,97.0,3.0,4.0,1.0,2.0,4.0,4.0,,0
SBT006_0028,3,1,1,1,5,2,3,2,3,4,1,0.725502939798371,2,7,1,4.0,4.0,5.0,3.0,3.0,4.0,4.0,97.0,3.0,4.0,,1
SBT006_0029,2,1,2,1,5,2,4,3,98,3,2,0.816190807273167,1,4,1,5.0,5.0,97.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,,1
SBT006_0030,1,0,2,1,5,1,4,3,2,2,5,1.24695817777845,1,4,1,1.0,2.0,5.0,97.0,97.0,4.0,2.0,4.0,2.0,,2.0,0
SBT006_0031,2,1,1,1,5,1,4,3,0,4,1,0.725502939798371,4,13,1,1.0,4.0,4.0,1.0,3.0,3.0,3.0,5.0,1.0,,1.0,1
SBT006_0032,1,0,2,1,2,5,4,3,2,1,5,1.24695817777845,4,13,1,2.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,,5.0,0
SBT006_0033,1,0,2,2,5,1,5,3,1,2,5,1.24695817777845,4,13,1,3.0,1.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,0
SBT006_0034,1,1,1,1,2,2,5,5,1,4,1,0.725502939798371,4,13,1,1.0,1.0,1.0,1.0,4.0,3.0,97.0,5.0,2.0,,1.0,0
SBT006_0035,2,1,2,2,5,3,4,2,1,4,2,0.816190807273167,1,4,1,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,2.0,,1
SBT006_0036,1,0,1,1,4,3,4,3,1,2,4,1.49634981333414,3,10,1,5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,2.0,6.0,,0
SBT006_0037,2,1,2,2,5,1,2,3,0,4,2,0.816190807273167,3,10,0,,,,,,,,,,,,1
SBT006_0038,2,1,1,2,5,1,4,2,1,4,1,0.725502939798371,2,7,1,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,97.0,,1
SBT006_0039,4,1,2,2,5,3,4,5,97,4,2,0.816190807273167,3,10,1,4.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,2.0,,1
SBT006_0040,2,0,2,2,5,1,4,4,2,2,5,1.24695817777845,3,10,1,2.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,3.0,,6.0,0
SBT006_0041,2,1,2,1,3,5,4,6,1,4,2,0.816190807273167,2,7,1,3.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,6.0,0
SBT006_0042,2,1,1,2,5,2,3,4,1,4,1,0.725502939798371,3,10,1,2.0,3.0,4.0,3.0,4.0,3.0,2.0,5.0,0.0,,1.0,1
SBT006_0043,3,1,2,1,5,5,2,3,2,4,2,0.816190807273167,1,4,1,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,1.0,3.0,,1
SBT006_0044,1,1,1,2,5,4,4,4,3,3,1,0.725502939798371,2,7,1,4.0,5.0,3.0,3.0,2.0,5.0,3.0,1.0,3.0,5.0,,1
SBT006_0045,2,0,3,1,2,3,3,4,3,1,6,0.99756654222276,3,10,1,2.0,3.0,2.0,4.0,5.0,3.0,1.0,4.0,4.0,,1.0,0
SBT006_0046,3,0,2,1,5,1,3,4,1,1,5,1.24695817777845,4,13,1,1.0,2.0,2.0,1.0,5.0,4.0,1.0,3.0,2.0,,1.0,0
SBT006_0047,1,1,1,2,5,3,4,97,3,4,1,0.725502939798371,3,10,1,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,,2.0,1
SBT006_0048,1,1,1,2,5,1,4,2,1,4,1,0.725502939798371,4,13,1,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0,5.0,,1
SBT006_0049,2,1,2,1,3,3,3,5,1,4,2,0.816190807273167,2,7,1,4.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,2.0,3.0,,0
SBT006_0050,1,1,1,1,5,2,5,6,1,4,1,0.725502939798371,1,4,1,5.0,5.0,5.0,97.0,5.0,5.0,4.0,5.0,4.0,5.0,,1
SBT006_0051,1,0,3,1,4,1,4,4,1,2,6,0.99756654222276,4,13,1,1.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,,1.0,0
SBT006_0052,3,0,1,1,3,3,3,2,1,2,4,1.49634981333414,3,10,1,98.0,2.0,2.0,2.0,3.0,2.0,3.0,,2.0,,,0
SBT006_0053,4,0,2,1,4,5,3,3,2,1,5,1.24695817777845,4,13,1,1.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,0.0,,5.0,0
SBT006_0054,2,1,2,2,4,5,4,2,2,4,2,0.816190807273167,2,7,1,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,0.0,5.0,,1
SBT006_0055,2,1,3,2,2,3,2,2,2,3,3,0.74817490666707,2,7,1,5.0,4.0,3.0,5.0,2.0,4.0,3.0,5.0,4.0,99.0,,0
SBT006_0056,2,1,2,1,2,2,3,4,1,3,2,0.816190807273167,2,7,1,1.0,97.0,1.0,5.0,99.0,2.0,4.0,4.0,3.0,,3.0,0
SBT006_0057,3,0,2,1,4,1,3,4,1,1,5,1.24695817777845,1,4,1,1.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,,3.0,0
SBT006_0058,1,1,1,1,5,3,5,6,3,4,1,0.725502939798371,4,13,1,99.0,3.0,5.0,4.0,4.0,4.0,5.0,,2.0,,,1
SBT006_0059,1,1,2,1,4,3,5,2,0,4,2,0.816190807273167,1,4,1,97.0,4.0,3.0,5.0,4.0,5.0,2.0,,3.0,,,1
SBT006_0060,3,0,2,1,2,2,4,7,2,1,5,1.24695817777845,4,13,1,1.0,1.0,1.0,1.0,3.0,97.0,1.0,5.0,4.0,,5.0,0
SBT006_0061,2,0,2,1,3,3,3,3,1,2,5,1.24695817777845,2,7,1,2.0,2.0,3.0,4.0,5.0,4.0,2.0,5.0,3.0,,1.0,0
SBT006_0062,3,1,2,1,5,1,1,5,1,3,2,0.816190807273167,3,10,1,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,,1.0,1
SBT006_0063,2,1,1,1,5,1,5,2,0,4,1,0.725502939798371,3,10,1,97.0,2.0,2.0,2.0,4.0,4.0,97.0,,2.0,,,1
SBT006_0064,1,1,3,1,5,4,4,2,3,4,3,0.74817490666707,4,13,1,4.0,5.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,,1
SBT006_0065,1,0,2,2,2,2,2,3,0,2,5,1.24695817777845,3,10,1,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,,2.0,0
SBT006_0066,1,1,2,1,5,2,3,2,1,4,2,0.816190807273167,3,10,1,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,97.0,,1
SBT006_0067,4,0,1,1,5,1,2,3,0,1,4,1.49634981333414,4,13,1,1.0,3.0,1.0,2.0,2.0,2.0,3.0,5.0,4.0,,3.0,0
SBT006_0068,2,1,3,2,4,1,3,4,2,4,3,0.74817490666707,1,4,1,5.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,0.0,3.0,,1
SBT006_0069,1,0,2,2,3,1,3,2,1,2,5,1.24695817777845,3,10,1,1.0,3.0,2.0,4.0,4.0,3.0,2.0,5.0,0.0,,1.0,0
SBT006_0070,2,1,2,1,5,2,4,3,1,4,2,0.816190807273167,1,4,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,6.0,,1
SBT006_0071,2,0,1,1,4,1,5,6,3,1,4,1.49634981333414,4,13,1,97.0,1.0,4.0,2.0,5.0,4.0,5.0,,3.0,,,0
SBT006_0072,1,0,1,1,3,2,2,3,2,1,4,1.49634981333414,4,13,1,1.0,1.0,2.0,1.0,3.0,4.0,5.0,5.0,2.0,,3.0,0
SBT006_0073,1,0,2,1,3,2,3,5,2,2,5,1.24695817777845,4,13,1,97.0,1.0,3.0,3.0,4.0,4.0,4.0,,1.0,,,0
SBT006_0074,2,1,1,2,3,5,5,5,0,3,1,0.725502939798371,3,10,1,4.0,2.0,1.0,3.0,4.0,5.0,2.0,5.0,2.0,5.0,,0
SBT006_0075,2,0,2,1,2,5,4,3,3,1,5,1.24695817777845,3,10,1,1.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,,4.0,0
SBT006_0076,2,1,1,2,4,5,97,4,2,4,1,0.725502939798371,4,13,1,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,3.0,,1
SBT006_0077,1,1,1,1,5,2,5,4,3,3,1,0.725502939798371,2,7,1,1.0,2.0,3.0,97.0,3.0,3.0,3.0,5.0,2.0,,1.0,1
SBT006_0078,2,1,2,2,5,2,4,2,2,3,2,0.816190807273167,2,7,1,4.0,5.0,97.0,3.0,5.0,99.0,99.0,97.0,1.0,3.0,,1
SBT006_0079,2,0,3,2,97,1,5,4,1,1,6,0.99756654222276,3,10,1,97.0,4.0,4.0,5.0,4.0,3.0,3.0,,3.0,,,0
SBT006_0080,4,0,1,1,3,2,5,3,1,2,4,1.49634981333414,2,7,1,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0
SBT006_0081,1,1,2,1,5,5,1,3,2,4,2,0.816190807273167,4,13,0,,,,,,,,,,,,1
SBT006_0082,2,1,2,1,2,2,3,2,1,3,2,0.816190807273167,1,4,1,5.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,6.0,,0
SBT006_0083,2,1,3,1,5,1,3,3,3,4,3,0.74817490666707,4,13,1,1.0,4.0,4.0,4.0,2.0,97.0,4.0,97.0,1.0,,3.0,1
SBT006_0084,1,1,3,2,5,4,5,3,3,4,3,0.74817490666707,1,4,1,4.0,5.0,5.0,4.0,4.0,3.0,5.0,2.0,1.0,7.0,,1
SBT006_0085,1,1,1,2,1,3,3,4,0,3,1,0.725502939798371,4,13,1,1.0,2.0,1.0,3.0,4.0,3.0,1.0,5.0,2.0,,2.0,0
SBT006_0086,2,0,2,2,2,3,3,4,1,2,5,1.24695817777845,3,10,1,97.0,3.0,2.0,2.0,5.0,5.0,4.0,,3.0,,,0
SBT006_0087,4,0,2,1,2,2,3,5,1,2,5,1.24695817777845,4,13,1,1.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,,1.0,0
SBT006_0088,1,1,1,1,5,2,5,4,97,4,1,0.725502939798371,1,4,1,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,99.0,,1
SBT006_0089,1,1,2,1,3,3,5,5,2,4,2,0.816190807273167,4,13,1,3.0,2.0,4.0,2.0,5.0,5.0,97.0,4.0,3.0,7.0,5.0,0
SBT006_0090,1,1,3,1,3,1,5,3,3,4,3,0.74817490666707,4,13,1,1.0,2.0,3.0,4.0,2.0,5.0,3.0,5.0,1.0,,3.0,0
SBT006_0091,2,0,2,1,3,5,3,6,1,1,5,1.24695817777845,4,13,1,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,,2.0,0
SBT006_0092,1,1,3,2,5,2,5,97,1,4,3,0.74817490666707,1,4,1,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,,1
SBT006_0093,4,0,3,2,5,4,5,5,3,2,6,0.99756654222276,1,4,1,4.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,1.0,2.0,,0
SBT006_0094,2,1,2,1,4,2,3,1,1,4,2,0.816190807273167,4,13,1,1.0,2.0,2.0,3.0,5.0,4.0,1.0,5.0,1.0,,2.0,1
SBT006_0095,1,0,3,1,5,1,2,3,2,2,6,0.99756654222276,3,10,1,3.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,6.0,0
SBT006_0096,4,0,2,1,5,1,1,3,1,2,5,1.24695817777845,1,4,1,4.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,1.0,3.0,,0
SBT006_0097,2,0,2,2,4,3,3,3,1,2,5,1.24695817777845,1,4,1,4.0,5.0,4.0,5.0,5.0,4.0,97.0,3.0,1.0,97.0,,0
SBT006_0098,2,1,1,1,4,2,4,5,2,4,1,0.725502939798371,4,13,1,1.0,2.0,3.0,2.0,3.0,4.0,2.0,5.0,3.0,,1.0,1
SBT006_0099,2,1,3,1,5,1,4,4,3,3,3,0.74817490666707,1,4,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,99.0,7.0,,1
SBT006_0100,2,1,1,1,5,3,2,97,2,4,1,0.725502939798371,1,4,0,,,,,,,,,,,,1
SBT006_0101,2,1,2,1,4,3,5,1,2,4,2,0.816190807273167,1,4,1,1.0,3.0,3.0,4.0,4.0,4.0,1.0,97.0,3.0,,4.0,1
SBT006_0102,1,1,1,1,4,2,4,2,2,4,1,0.725502939798371,4,13,1,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,5.0,,1
SBT006_0103,1,0,3,2,2,4,5,7,2,1,6,0.99756654222276,2,7,1,4.0,5.0,97.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,0
SBT006_0104,1,1,3,1,3,2,5,4,1,4,3,0.74817490666707,2,7,1,4.0,4.0,3.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,,0
SBT006_0105,2,1,2,2,4,1,3,2,98,4,2,0.816190807273167,2,7,0,,,,,,,,,,,,1
SBT006_0106,2,1,3,2,5,2,3,3,2,3,3,0.74817490666707,2,7,1,4.0,5.0,2.0,5.0,3.0,4.0,2.0,3.0,97.0,5.0,,1
SBT006_0107,4,0,2,2,3,1,4,2,1,2,5,1.24695817777845,2,7,1,3.0,3.0,3.0,3.0,5.0,97.0,3.0,4.0,3.0,3.0,4.0,0
SBT006_0108,2,1,2,2,4,2,3,3,1,4,2,0.816190807273167,1,4,1,1.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,2.0,,3.0,1
SBT006_0109,1,1,2,2,5,1,5,3,1,3,2,0.816190807273167,1,4,1,1.0,97.0,3.0,5.0,3.0,4.0,4.0,5.0,1.0,,1.0,1
SBT006_0110,1,0,1,1,5,2,4,3,1,1,4,1.49634981333414,4,13,1,1.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,0.0,,6.0,0
SBT006_0111,1,1,1,2,4,1,4,2,1,3,1,0.725502939798371,2,7,1,3.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,1
SBT006_0112,3,0,1,1,4,3,5,2,1,2,4,1.49634981333414,3,10,1,2.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,2.0,,3.0,0
SBT006_0113,3,1,1,1,4,3,2,3,0,3,1,0.725502939798371,2,7,1,5.0,5.0,4.0,2.0,5.0,3.0,3.0,5.0,0.0,97.0,,1
SBT006_0114,1,1,1,2,97,1,5,4,2,4,1,0.725502939798371,4,13,1,2.0,4.0,4.0,1.0,3.0,3.0,4.0,5.0,1.0,,5.0,97
SBT006_0115,1,0,1,1,5,1,3,4,3,1,4,1.49634981333414,4,13,1,1.0,1.0,3.0,3.0,2.0,2.0,2.0,5.0,0.0,,3.0,0
SBT006_0116,1,1,2,1,5,2,3,0,1,3,2,0.816190807273167,2,7,1,1.0,4.0,4.0,99.0,3.0,3.0,4.0,5.0,2.0,,2.0,1
SBT006_0117,1,1,2,1,4,4,5,4,3,4,2,0.816190807273167,2,7,1,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,2.0,4.0,,1
SBT006_0118,2,1,1,2,5,1,5,2,1,3,1,0.725502939798371,1,4,1,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,,1
SBT006_0119,3,0,2,1,2,3,2,2,3,1,5,1.24695817777845,3,10,1,2.0,4.0,2.0,3.0,97.0,4.0,2.0,5.0,1.0,,6.0,0
SBT006_0120,4,1,1,1,5,1,5,4,1,4,1,0.725502939798371,3,10,1,2.0,4.0,5.0,3.0,5.0,2.0,3.0,4.0,2.0,,3.0,1
SBT006_0121,2,1,1,1,5,2,4,4,0,4,1,0.725502939798371,3,10,0,,,,,,,,,,,,1
SBT006_0122,2,1,3,1,4,4,4,5,2,4,3,0.74817490666707,4,13,1,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,1.0,6.0,,1
SBT006_0123,4,1,1,2,4,2,3,2,1,4,1,0.725502939798371,1,4,1,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,1.0,3.0,,1
SBT006_0124,3,0,1,1,2,1,4,5,0,1,4,1.49634981333414,3,10,1,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,0
SBT006_0125,1,0,2,1,5,5,5,4,2,1,5,1.24695817777845,2,7,1,5.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,1.0,4.0,,0
SBT006_0126,1,0,1,1,5,5,5,1,1,1,4,1.49634981333414,2,7,1,3.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,2.0,3.0,5.0,0
SBT006_0127,2,1,3,2,2,1,1,5,1,4,3,0.74817490666707,1,4,1,4.0,5.0,5.0,97.0,2.0,4.0,4.0,4.0,4.0,4.0,,0
SBT006_0128,1,0,2,2,5,1,5,3,2,2,5,1.24695817777845,3,10,1,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,,0
SBT006_0129,2,1,1,1,5,5,3,4,0,4,1,0.725502939798371,3,10,1,1.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,2.0,,1.0,1
SBT006_0130,3,0,2,1,2,1,97,3,1,2,5,1.24695817777845,3,10,1,1.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,1.0,,1.0,0
SBT006_0131,1,1,1,1,5,1,4,3,1,4,1,0.725502939798371,1,4,1,3.0,4.0,3.0,4.0,3.0,2.0,5.0,4.0,1.0,4.0,1.0,1
SBT006_0132,3,0,1,1,5,1,4,2,2,2,4,1.49634981333414,2,7,1,3.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,0
SBT006_0133,2,0,2,1,5,1,3,3,2,1,5,1.24695817777845,4,13,1,97.0,97.0,2.0,2.0,4.0,3.0,3.0,,0.0,,,0
SBT006_0134,4,0,2,1,1,3,3,4,2,2,5,1.24695817777845,4,13,1,1.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,,1.0,0
SBT006_0135,2,0,3,1,2,4,5,3,3,1,6,0.99756654222276,2,7,1,1.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,2.0,,1.0,0
SBT006_0136,2,1,2,1,4,1,4,6,3,4,2,0.816190807273167,3,10,1,4.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,4.0,,1
SBT006_0137,1,1,1,1,4,1,4,2,2,3,1,0.725502939798371,2,7,1,3.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1
SBT006_0138,2,1,2,2,3,2,4,6,0,3,2,0.816190807273167,4,13,1,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,7.0,,0
SBT006_0139,4,1,1,2,5,5,5,1,3,4,1,0.725502939798371,3,10,0,,,,,,,,,,,,1
SBT006_0140,1,0,2,1,2,3,3,2,2,1,5,1.24695817777845,3,10,1,1.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,0.0,,3.0,0
SBT006_0141,3,1,3,1,5,2,4,6,1,4,3,0.74817490666707,4,13,1,97.0,5.0,5.0,3.0,4.0,4.0,2.0,,1.0,,,1
SBT006_0142,1,1,1,1,5,4,5,2,1,4,1,0.725502939798371,3,10,1,98.0,4.0,4.0,4.0,5.0,4.0,3.0,,1.0,,,1
SBT006_0143,4,1,1,1,4,1,4,3,2,4,1,0.725502939798371,3,10,0,,,,,,,,,,,,1
SBT006_0144,2,1,2,2,5,3,3,3,3,4,2,0.816190807273167,2,7,1,3.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,1.0,5.0,1.0,1
SBT006_0145,1,0,3,1,4,4,4,3,3,2,6,0.99756654222276,2,7,1,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,3.0,,0
SBT006_0146,2,1,1,1,5,2,5,3,2,4,1,0.725502939798371,2,7,1,2.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,,1.0,1
SBT006_0147,4,0,2,2,2,5,2,3,0,2,5,1.24695817777845,3,10,1,3.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,0
SBT006_0148,1,0,3,2,2,3,5,3,1,1,6,0.99756654222276,1,4,1,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,2.0,4.0,,0
SBT006_0149,3,0,1,1,1,1,5,4,2,1,4,1.49634981333414,2,7,1,4.0,3.0,3.0,3.0,4.0,5.0,2.0,97.0,1.0,5.0,,0
SBT006_0150,2,1,3,1,5,4,4,0,3,4,3,0.74817490666707,3,10,1,1.0,5.0,4.0,4.0,4.0,2.0,2.0,5.0,1.0,,2.0,1
SBT006_0151,1,1,2,2,5,1,4,2,0,4,2,0.816190807273167,4,13,1,1.0,4.0,4.0,2.0,2.0,3.0,1.0,5.0,2.0,,3.0,1
SBT006_0152,2,1,1,1,4,5,4,2,0,4,1,0.725502939798371,3,10,1,2.0,4.0,3.0,5.0,2.0,4.0,2.0,4.0,2.0,,1.0,1
SBT006_0153,2,1,1,1,97,1,3,5,3,4,1,0.725502939798371,1,4,1,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,1.0,4.0,,97
SBT006_0154,2,1,2,2,5,2,4,97,2,4,2,0.816190807273167,3,10,1,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,1.0,4.0,,1
SBT006_0155,2,1,1,2,5,3,2,2,3,3,1,0.725502939798371,1,4,1,2.0,4.0,2.0,5.0,3.0,5.0,2.0,4.0,2.0,,4.0,1
SBT006_0156,1,1,3,2,5,4,5,3,3,4,3,0.74817490666707,3,10,1,5.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,1.0,5.0,,1
SBT006_0157,2,0,2,2,2,1,3,5,2,1,5,1.24695817777845,2,7,0,,,,,,,,,,,,0
SBT006_0158,3,1,2,2,4,5,2,5,0,3,2,0.816190807273167,2,7,1,5.0,5.0,97.0,4.0,4.0,4.0,97.0,5.0,97.0,98.0,,1
SBT006_0159,2,1,2,1,5,4,5,4,1,4,2,0.816190807273167,2,7,1,2.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,,4.0,1
SBT006_0160,2,1,2,1,5,5,4,2,2,4,2,0.816190807273167,1,4,1,4.0,5.0,4.0,5.0,97.0,3.0,3.0,4.0,1.0,4.0,,1
